,method,proportion,method_type,split,group,label
423,,0.004607609753749537,current,use,user,Méthode de l'allaitement (aussi appelée “aménorrhée de lactation”)
424,,0.0011455985234913397,current,use,user,Je préfère ne pas répondre
425,,0.0040083472510910115,current,gender,Femme Nyɔnu,Abstinence
426,,0.0006496807023978497,current,gender,Femme Nyɔnu,Autre : veuillez préciser
427,,0.026655915111708894,current,gender,Femme Nyɔnu,Dispositifs intra-utérins DIU (aussi appelés “stérilets”)
428,,0.16136443765728178,current,gender,Femme Nyɔnu,Implants
429,,0.06210264319122192,current,gender,Femme Nyɔnu,Injectables
430,,0.0,current,gender,Femme Nyɔnu,Je préfère ne pas répondre
431,,0.002178282284369191,current,gender,Femme Nyɔnu,Méthode de l'allaitement (aussi appelée “aménorrhée de lactation”)
432,,0.006693423663708402,current,gender,Femme Nyɔnu,Méthode des jours fixes (collier de perles)
433,,0.010731982007064433,current,gender,Femme Nyɔnu,Méthode du calendrier (aussi appelée “méthode Ogino”)
434,,0.008972849402670006,current,gender,Femme Nyɔnu,Pilules contraceptives d'urgence
435,,0.019447504343384922,current,gender,Femme Nyɔnu,Pilules contraceptives orales
436,,0.0050154482279415775,current,gender,Femme Nyɔnu,Préservatifs
437,,0.006819132188357865,current,gender,Femme Nyɔnu,Retrait
438,,0.015253572875857435,current,gender,Homme Sunnu,Abstinence
439,,0.03969016706406474,current,gender,Homme Sunnu,Autre : veuillez préciser
440,,0.0006768931732789899,current,gender,Homme Sunnu,Dispositifs intra-utérins DIU (aussi appelés “stérilets”)
441,,0.04641324589959754,current,gender,Homme Sunnu,Implants
442,,0.07320170136097981,current,gender,Homme Sunnu,Injectables
443,,0.0007145729999270504,current,gender,Homme Sunnu,Je préfère ne pas répondre
444,,0.0004763819999513669,current,gender,Homme Sunnu,Méthode de l'allaitement (aussi appelée “aménorrhée de lactation”)
445,,0.0,current,gender,Homme Sunnu,Méthode des jours fixes (collier de perles)
446,,0.03949975276246031,current,gender,Homme Sunnu,Méthode du calendrier (aussi appelée “méthode Ogino”)
447,,0.025845807840267767,current,gender,Homme Sunnu,Pilules contraceptives d'urgence
448,,0.009422286165394728,current,gender,Homme Sunnu,Pilules contraceptives orales
449,,0.09917039005294093,current,gender,Homme Sunnu,Préservatifs
450,,0.027180394747595326,current,gender,Homme Sunnu,Retrait
451,,0.0,current,age_group,16-20,Abstinence
452,,0.0,current,age_group,16-20,Autre : veuillez préciser
453,,0.0,current,age_group,16-20,Dispositifs intra-utérins DIU (aussi appelés “stérilets”)
454,,0.0,current,age_group,16-20,Implants
455,,0.18417603183426567,current,age_group,16-20,Injectables
456,,0.0,current,age_group,16-20,Je préfère ne pas répondre
457,,0.0,current,age_group,16-20,Méthode de l'allaitement (aussi appelée “aménorrhée de lactation”)
458,,0.0,current,age_group,16-20,Méthode des jours fixes (collier de perles)
459,,0.0,current,age_group,16-20,Méthode du calendrier (aussi appelée “méthode Ogino”)
460,,0.0,current,age_group,16-20,Pilules contraceptives d'urgence
461,,0.036338589970840406,current,age_group,16-20,Pilules contraceptives orales
462,,0.0,current,age_group,16-20,Préservatifs
463,,0.0,current,age_group,16-20,Retrait
464,,0.017411586236285893,current,age_group,21-30,Abstinence
465,,0.000262144718721245,current,age_group,21-30,Autre : veuillez préciser
466,,0.0,current,age_group,21-30,Dispositifs intra-utérins DIU (aussi appelés “stérilets”)
467,,0.06119620203732398,current,age_group,21-30,Implants
468,,0.07004731323520223,current,age_group,21-30,Injectables
469,,0.0,current,age_group,21-30,Je préfère ne pas répondre
470,,0.0036998863197007037,current,age_group,21-30,Méthode de l'allaitement (aussi appelée “aménorrhée de lactation”)
471,,0.004885046743660088,current,age_group,21-30,Méthode des jours fixes (collier de perles)
472,,0.01987826953840475,current,age_group,21-30,Méthode du calendrier (aussi appelée “méthode Ogino”)
473,,0.020429824460950187,current,age_group,21-30,Pilules contraceptives d'urgence
474,,0.012596690127323206,current,age_group,21-30,Pilules contraceptives orales
475,,0.06783819233467941,current,age_group,21-30,Préservatifs
476,,0.026826120631861128,current,age_group,21-30,Retrait
477,,0.006167046586088852,current,age_group,31-45,Abstinence
478,,0.029601973986344603,current,age_group,31-45,Autre : veuillez préciser
479,,0.02208417097292891,current,age_group,31-45,Dispositifs intra-utérins DIU (aussi appelés “stérilets”)
480,,0.13564488527324,current,age_group,31-45,Implants
481,,0.058087044574445565,current,age_group,31-45,Injectables
482,,0.0005257254707556916,current,age_group,31-45,Je préfère ne pas répondre
483,,0.00035048364717046106,current,age_group,31-45,Méthode de l'allaitement (aussi appelée “aménorrhée de lactation”)
484,,0.0030913492172952085,current,age_group,31-45,Méthode des jours fixes (collier de perles)
485,,0.028274254403399496,current,age_group,31-45,Méthode du calendrier (aussi appelée “méthode Ogino”)
486,,0.016541254048890265,current,age_group,31-45,Pilules contraceptives d'urgence
487,,0.014176595458924416,current,age_group,31-45,Pilules contraceptives orales
488,,0.04468003817038539,current,age_group,31-45,Préservatifs
489,,0.012729485350493147,current,age_group,31-45,Retrait
