,label,split,group,weighted_agreement,agree_n,agree_pct,agree_weighted_n,disagree_n,disagree_pct,disagree_weighted_n,total_n,total_weighted_n
364,L'utilisation de contraceptifs peut rendre les règles plus douloureuses.,age_group,16-20,0.6493000349561248,12.0,0.9230769230769231,31069.49093937189,1.0,0.07692307692307693,36.22285987220578,22.0,47794.95827625621
365,L'utilisation de contraceptifs peut rendre les règles plus douloureuses.,age_group,21-30,0.7657694251264733,198.0,0.9658536585365853,254707.14439986047,7.0,0.03414634146341464,926.0509917359591,289.0,331406.6677005424
366,L'utilisation de contraceptifs peut rendre les règles plus douloureuses.,age_group,31-45,0.42979766180351375,237.0,0.9045801526717557,385144.2875482696,25.0,0.09541984732824428,86387.64544602399,386.0,695109.975351204
367,L'utilisation de contraceptifs rend les femmes plus susceptibles de contracter des infections lorsqu'elles urinent dans des endroits sales.,age_group,16-20,0.46466065585713734,6.0,0.8571428571428571,23987.870626450604,1.0,0.14285714285714285,1779.4339671408804,22.0,47794.95827625621
368,L'utilisation de contraceptifs rend les femmes plus susceptibles de contracter des infections lorsqu'elles urinent dans des endroits sales.,age_group,21-30,0.38143047796731094,102.0,0.8793103448275862,139894.63916099299,14.0,0.1206896551724138,13486.0354984213,289.0,331406.6677005424
369,L'utilisation de contraceptifs rend les femmes plus susceptibles de contracter des infections lorsqu'elles urinent dans des endroits sales.,age_group,31-45,0.0941427608281587,107.0,0.7925925925925926,112191.14099605814,28.0,0.2074074074074074,46751.568837302446,386.0,695109.975351204
370,L'utilisation de contraceptifs va à l'encontre de ma foi.,age_group,16-20,0.34610637213785606,5.0,0.38461538461538464,20133.184026001047,8.0,0.6153846153846154,3591.044410525812,22.0,47794.95827625621
371,L'utilisation de contraceptifs va à l'encontre de ma foi.,age_group,21-30,0.036716403174973225,65.0,0.33678756476683935,133039.14760196346,128.0,0.6632124352331606,120871.08677579596,289.0,331406.6677005424
372,L'utilisation de contraceptifs va à l'encontre de ma foi.,age_group,31-45,-0.3199508453270036,81.0,0.28421052631578947,168763.09875637875,204.0,0.7157894736842105,391164.1229652292,386.0,695109.975351204
373,L'utilisation de la contraception n'est pas importante pour moi ou ma famille.,age_group,16-20,-0.16289975667389747,7.0,0.4375,19590.424178545807,9.0,0.5625,27376.211251987028,22.0,47794.95827625621
374,L'utilisation de la contraception n'est pas importante pour moi ou ma famille.,age_group,21-30,0.011716718434460456,107.0,0.4495798319327731,150178.44130964298,131.0,0.5504201680672269,146295.44269689295,289.0,331406.6677005424
375,L'utilisation de la contraception n'est pas importante pour moi ou ma famille.,age_group,31-45,0.08051481342968365,165.0,0.5188679245283019,344966.165729814,153.0,0.4811320754716981,288999.5157512998,386.0,695109.975351204
376,Les chefs religieux que j'admire n'utilisent pas et n'encouragent pas la contraception.,age_group,16-20,0.436349082077175,5.0,0.625,20966.194927544508,3.0,0.375,110.90875578322888,22.0,47794.95827625621
